Time,Size,Sex,Total
6572.723608404868,7,M,6795
6765.9506379252925,8,M,6947
7040.562986811602,9,M,6319
7694.4344393590245,10,M,5679
9382.710849411187,11,M,5793
9403.58179045727,12,M,5758
10472.449136524621,13,M,6125
11486.72228735651,14,M,7463
13500.477238171203,15,M,6354
13823.284879715717,16,M,6446
14071.894807859762,17,M,6513
14400.527664902147,18,M,6274
14470.839875012029,19,M,6227
15100.585295912684,20,M,5125
15172.598037733953,21,M,4818
15242.385314355317,22,M,4688
15292.40701876216,23,M,4553
15406.107569970276,24,M,4138
15586.884843508284,25,M,4278
15702.457315984113,26,M,4483
15710.159339842508,27,M,4481
15998.226802373021,28,M,5134
16224.3155796706,29,M,5180
16261.697193820733,30,M,5239
16390.90231282505,31,M,4968
16403.120479692243,32,M,4930
16704.32957368494,33,M,5268
16733.388327770255,34,M,5246
16956.409177589798,35,M,5350
17044.203903529593,36,M,4995
17251.360724081213,37,M,5038
17300.672944699993,38,M,4939
17301.004493566463,39,M,4930
17358.229824344566,40,M,5076
17377.799703823006,41,M,5177
17472.04005596702,42,M,4960
17477.66751287434,43,M,4977
17530.235787439913,44,M,5106
17548.8279855102,45,M,5193
17680.743662308618,46,M,5366
17745.06815143005,47,M,5666
17793.7897940688,48,M,5823
17886.592640109397,49,M,5711
17966.134993134074,50,M,5541
17995.11063811794,51,M,5399
18043.38430482298,52,M,5096
18067.93290173666,53,M,5023
18100.785825931704,54,M,5065
18148.66092221921,55,M,5070
18177.46648392347,56,M,5106
18208.200685668693,57,M,4922
18219.30129777974,58,M,4866
18225.76086692175,59,M,4907
18280.276411144678,60,M,4805
18307.587147139646,61,M,4758
18344.759573369978,62,M,4582
18352.115569805217,63,M,4560
18374.696343298914,64,M,4626
18381.135593830346,65,M,4677
18381.75571676694,66,M,4692
18398.738152424663,67,M,4716
18405.065227976225,68,M,4779
18426.68694871071,69,M,4754
18431.412130867095,70,M,4753
18440.52265804063,71,M,4726
18460.787372839935,72,M,4624
18467.757178729116,73,M,4628
18483.663136347994,74,M,4510
18513.108811228492,75,M,4395
18545.923683859324,76,M,4251
18546.195751069914,77,M,4252
18553.96633131804,78,M,4306
18571.969162467765,79,M,4257
18618.032103272337,80,M,4480
18657.597763582482,81,M,4637
18659.986153265534,82,M,4603
18664.550539854146,83,M,4582
18664.73101914514,84,M,4589
18705.213806963748,85,M,4642
18711.351755958985,86,M,4647
18745.038889867585,87,M,4739
18757.34801772259,88,M,4811
18759.182093011135,89,M,4846
18780.14209464969,90,M,4961
18782.097975578334,91,M,4949
18790.649857531058,92,M,5041
18803.78801812999,93,M,5076
18821.379164436596,94,M,5056
18821.814999499933,95,M,5064
18832.01974135623,96,M,5058
18841.64567756065,97,M,5069
18851.914107843222,98,M,5103
18854.651524143355,99,M,5127
18857.431196114732,100,M,5146
18868.250323846525,101,M,5169
18869.364840001854,102,M,5178
18881.63484919346,103,M,5277
18887.91403883754,104,M,5331
18896.069512016238,105,M,5378
18896.55580648328,106,M,5404
18901.664878738597,107,M,5400
18905.706231169275,108,M,5428
18917.13111056417,109,M,5405
18917.64468541206,110,M,5398
18917.863110295006,111,M,5396
18922.34743948864,112,M,5431
18927.581626102117,113,M,5519
18930.043264866035,114,M,5505
18956.41587618867,115,M,5529
18967.210195799442,116,M,5636
18975.281905852364,117,M,5612
18979.67955550654,118,M,5574
18980.459071908303,119,M,5574
18989.796816559217,120,M,5553
18991.455888407527,121,M,5561
18991.586052783987,122,M,5570
19013.313807070903,123,M,5548
19018.455649888132,124,M,5553
19027.10194451827,125,M,5423
19035.622777575238,126,M,5492
19048.107325140954,127,M,5437
19051.539143655293,128,M,5441
19063.915702464572,129,M,5338
19077.874023525004,130,M,5384
19079.499780043232,131,M,5428
19093.24903718751,132,M,5376
19097.13996890759,133,M,5351
19106.212455452987,134,M,5301
19106.953966168705,135,M,5266
19110.919854844942,136,M,5277
19117.793431011065,137,M,5247
19138.99089369722,138,M,5182
19154.371580212675,139,M,5218
19159.470248083093,140,M,5222
19165.31708315511,141,M,5279
19166.085495582487,142,M,5283
19167.222687542373,143,M,5271
19167.62564518981,144,M,5268
19168.22196870819,145,M,5259
19179.976317199555,146,M,5401
19180.741495890703,147,M,5395
19188.54754708657,148,M,5474
19197.176808677854,149,M,5569
19198.51298283631,150,M,5603
19200.639526171795,151,M,5601
19213.080780787426,152,M,5626
19215.628940750405,153,M,5646
19217.470999648896,154,M,5637
19218.450931456166,155,M,5636
19223.844564789415,156,M,5646
19229.787635789457,157,M,5643
19230.0782396318,158,M,5653
19243.039711225454,159,M,5510
19256.319529513898,160,M,5507
19259.15787756916,161,M,5463
19268.765282370994,162,M,5528
19275.713372797254,163,M,5425
19275.74273256783,164,M,5422
19282.816095753464,165,M,5403
19290.303091116188,166,M,5463
19290.81034775627,167,M,5461
19291.585227088788,168,M,5433
19295.06534104144,169,M,5387
19298.94657186199,170,M,5414
19313.18420012807,171,M,5410
19314.984491805342,172,M,5403
19328.495182553615,173,M,5379
19329.527686572306,174,M,5400
19335.135725322903,175,M,5439
19335.88498778133,176,M,5442
19336.53019865576,177,M,5456
19349.741021646038,178,M,5413
19350.335150778046,179,M,5423
19356.207025902488,180,M,5406
19360.3145899116,181,M,5413
19364.311573041545,182,M,5447
19368.92278435583,183,M,5432
19369.391400963625,184,M,5436
19372.08512005007,185,M,5408
19379.269713783935,186,M,5443
19381.094343160636,187,M,5438
19384.836792690516,188,M,5436
19386.102457849287,189,M,5447
19391.81239014432,190,M,5449
19398.31044850817,191,M,5445
19401.40270505986,192,M,5480
19404.073896913753,193,M,5510
19407.7412801923,194,M,5531
19410.23041698686,195,M,5534
19427.27020231246,196,M,5539
19429.21919407118,197,M,5545
19431.85112022513,198,M,5573
